b8,龙战于野--20210603-持仓量20210326-20210528-中间值4.5--8周-换手率,106.7-流通市值,26.7亿,软件服务,云鼎科技**000409.SZ
xxxx,--Xiao V成功了--20240509,专用机械,凌霄泵业**002884.SZ,,
xxxx,--Xiao V成功了--20240509,汽车配件,香山股份**002870.SZ,,
xxxx,--Xiao V成功了--20240509,文教休闲,实丰文化**002862.SZ,,
xxxx,--Xiao V成功了--20240509,其他商业,富森美**002818.SZ,,
xxxx,--Xiao V成功了--20240509,塑料,国恩股份**002768.SZ,,
xxxx,--Xiao V成功了--20240509,化学制药,奥赛康**002755.SZ,,
xxxx,--Xiao V成功了--20240509,证券,国盛金控**002670.SZ,,
xxxx,--Xiao V成功了--20240509,白酒,天佑德酒**002646.SZ,,
xxxx,--Xiao V成功了--20240509,水泥,宁波富达**600724.SH,,
xxxx,--Xiao V成功了--20240510,石油贸易,东华能源**002221.SZ,,
xxxx,--Xiao V成功了--20240509,化工原料,渤海化学**600800.SH,,
xxxx,--Xiao V成功了--20240509,百货,百大集团**600865.SH,,
xxxx,--Xiao V成功了--20240510,化工原料,兴化股份**002109.SZ,,
xxxx,--Xiao V成功了--20240510,化学制药,海翔药业**002099.SZ,,
xxxx,--Xiao V成功了--20240510,化纤,华峰化学**002064.SZ,,
xxxx,--Xiao V成功了--20240510,化工原料,保利联合**002037.SZ,,
xxxx,--Xiao V成功了--20240510,化学制药,亿帆医药**002019.SZ,,
xxxx,--Xiao V成功了--20240510,摩托车,宗申动力**001696.SZ,,
xxxx,--Xiao V成功了--20240510,化工原料,大庆华科**000985.SZ,,
xxxx,--Xiao V成功了--20240510,化学制药,河化股份**000953.SZ,,
xxxx,--Xiao V成功了--20240510,化学制药,广济药业**000952.SZ,,
xxxx,--Xiao V成功了--20240510,化纤,新乡化纤**000949.SZ,,
xxxx,--Xiao V成功了--20240510,石油加工,岳阳兴长**000819.SZ,,
xxxx,--Xiao V成功了--20240510,化工原料,沈阳化工**000698.SZ,,
xxxx,--Xiao V成功了--20240510,供气供热,惠天热电**000692.SZ,,
xxxx,--Xiao V成功了--20240510,化工原料,亚太实业**000691.SZ,,
xxxx,--Xiao V成功了--20240510,环境保护,中原环保**000544.SZ,,
xxxx,--Xiao V成功了--20240510,生物制药,派林生物**000403.SZ,,
xxxx,--Xiao V成功了--20240509,化工原料,皇马科技**603181.SH,,
xxxx,--Xiao V成功了--20240509,运输设备,康尼机电**603111.SH,,
xxxx,--Xiao V成功了--20240509,广告包装,永吉股份**603058.SH,,
xxxx,--Xiao V成功了--20240509,化工原料,美思德**603041.SH,,
xxxx,--Xiao V成功了--20240509,汽车配件,北特科技**603009.SH,,
xxxx,--Xiao V成功了--20240509,服饰,奥康国际**603001.SH,,
xxxx,--Xiao V成功了--20240509,电气设备,风范股份**601700.SH,,
xxxx,--Xiao V成功了--20240509,文教休闲,中路股份**600818.SH,,
xxxx,--Xiao V成功了--20240509,汽车配件,双环传动**002472.SZ,,
