--价格中枢看涨阴线1--20220403.0--实体是影线的3.0倍----上下影线0.67倍----阴线实体大小1.32--阳线实体大小1.78--,汽车配件,模塑科技--强势股票**000700.SZ
--价格中枢看涨阴线1--20220327.0--实体是影线的2.5倍----上下影线0.75倍----阴线实体大小2.86--阳线实体大小3.3--,矿物制品,鲁阳节能**002088.SZ
--价格中枢看涨阴线1--20220327.0--实体是影线的4.6倍----上下影线1.4倍----阴线实体大小2.99--阳线实体大小6.8--,水泥,塔牌集团**002233.SZ
--价格中枢看涨阴线1--20220327.0--实体是影线的2.4倍----上下影线1.25倍----阴线实体大小2.12--阳线实体大小1.63--,环境保护,富春环保**002479.SZ
--价格中枢看涨阴线1--20220327.0--实体是影线的3.2倍----上下影线0.83倍----阴线实体大小3.19--阳线实体大小2.9--,广告包装,思美传媒**002712.SZ
--价格中枢看涨阴线1--20220327.0--实体是影线的2.2倍----上下影线1.38倍----阴线实体大小1.78--阳线实体大小1.72--,塑料,国恩股份**002768.SZ
--价格中枢看涨阴线1--20220327.0--实体是影线的3.5倍----上下影线0.82倍----阴线实体大小3.59--阳线实体大小3.48--,生物制药,卫光生物**002880.SZ
--价格中枢看涨阴线1--20220403.0--实体是影线的6.0倍----上下影线0.67倍----阴线实体大小2.49--阳线实体大小2.7--,装修装饰,豪尔赛**002963.SZ
--价格中枢看涨阴线1--20220403.0--实体是影线的5.1倍----上下影线0.67倍----阴线实体大小3.99--阳线实体大小3.05--,广告包装,嘉美包装**002969.SZ
--价格中枢看涨阴线1--20220327.0--实体是影线的2.1倍----上下影线1.44倍----阴线实体大小2.7--阳线实体大小10.74--,水泥,祁连山**600720.SH
--价格中枢看涨阴线1--20220327.0--实体是影线的4.7倍----上下影线1.0倍----阴线实体大小7.42--阳线实体大小11.18--,建筑工程,重庆建工**600939.SH
--价格中枢看涨阴线1--20220327.0--实体是影线的4.7倍----上下影线0.75倍----阴线实体大小2.22--阳线实体大小4.86--,出版业,山东出版**601019.SH
--价格中枢看涨阴线1--20220327.0--实体是影线的2.3倍----上下影线0.6倍----阴线实体大小1.37--阳线实体大小0.8--,出版业,中国出版**601949.SH
--价格中枢看涨阴线1--20220327.0--实体是影线的6.8倍----上下影线1.2倍----阴线实体大小3.43--阳线实体大小1.9--,化工原料,美思德**603041.SH
--价格中枢看涨阴线1--20220327.0--实体是影线的4.1倍----上下影线0.59倍----阴线实体大小8.75--阳线实体大小3.95--,塑料,东宏股份**603856.SH
--价格中枢看涨阴线1--20220327.0--实体是影线的2.8倍----上下影线1.41倍----阴线实体大小5.0--阳线实体大小5.0--,专用机械,永创智能**603901.SH
--价格中枢看涨阴线1--20220403.0--实体是影线的2.7倍----上下影线0.71倍----阴线实体大小5.22--阳线实体大小22.92--,白酒,皇台酒业**000995.SZ
--价格中枢看涨阴线1--20220403.0--实体是影线的2.5倍----上下影线1.37倍----阴线实体大小2.37--阳线实体大小4.76--,建筑工程,中设股份**002883.SZ
--价格中枢看涨阴线1--20220403.0--实体是影线的4.0倍----上下影线1.0倍----阴线实体大小3.31--阳线实体大小4.72--,小金属,鑫科材料**600255.SH
--价格中枢看涨阴线4--20220130.0上影线最好为0=0.0--实体下影线倍数=1.9988242210464433--阴线实体=4.7--阳线实体=2.03--,火力发电,深南电A**000037.SZ
--价格中枢看涨阴线4--20220130.0上影线最好为0=0.0--实体下影线倍数=2.724795640326966--阴线实体=6.36--阳线实体=2.03--,其他建材,方大集团**000055.SZ
--价格中枢看涨阴线4--20220130.0上影线最好为0=0.0--实体下影线倍数=2.1989005497251473--阴线实体=6.73--阳线实体=0.64--,石油贸易,国际实业**000159.SZ
--价格中枢看涨阴线4--20220130.0上影线最好为0=0.0--实体下影线倍数=4.995004995004968--阴线实体=6.94--阳线实体=4.44--,造纸,晨鸣纸业**000488.SZ
--价格中枢看涨阴线4--20220130.0上影线最好为0=0.0--实体下影线倍数=6.548279689234192--阴线实体=9.44--阳线实体=12.91--,出版业,广弘控股**000529.SZ
--价格中枢看涨阴线4--20220130.0上影线最好为0=0.0--实体下影线倍数=2.594810379241524--阴线实体=5.6--阳线实体=2.74--,元器件,华映科技**000536.SZ
--价格中枢看涨阴线4--20220130.0上影线最好为0=0.0--实体下影线倍数=3.620474406991258--阴线实体=5.27--阳线实体=2.48--,家用电器,佛山照明**000541.SZ
--价格中枢看涨阴线4--20220130.0上影线最好为0=0.0--实体下影线倍数=2.025782688766109--阴线实体=9.94--阳线实体=2.95--,通信设备,烽火电子**000561.SZ
--价格中枢看涨阴线4--20220130.0上影线最好为0=0.0--实体下影线倍数=2.5268133066715057--阴线实体=7.77--阳线实体=2.2--,多元金融,海德股份**000567.SZ
--价格中枢看涨阴线4--20220130.0上影线最好为0=0.0--实体下影线倍数=2.3317788141239095--阴线实体=5.79--阳线实体=2.26--,供气供热,德龙汇能**000593.SZ
--价格中枢看涨阴线4--20220130.0上影线最好为0=0.0--实体下影线倍数=1.6393442622950827--阴线实体=5.8--阳线实体=6.63--,铝,焦作万方**000612.SZ
--价格中枢看涨阴线4--20220130.0上影线最好为0=0.0--实体下影线倍数=8.863920099875136--阴线实体=7.16--阳线实体=8.23--,园区开发,高新发展**000628.SZ
--价格中枢看涨阴线4--20220130.0上影线最好为0=0.0--实体下影线倍数=3.6165833578359337--阴线实体=9.33--阳线实体=7.93--,铜,云南铜业**000878.SZ
--价格中枢看涨阴线4--20220130.0上影线最好为0=0.0--实体下影线倍数=1.5648772006085678--阴线实体=7.2--阳线实体=4.66--,汽车配件,航天科技**000901.SZ
--价格中枢看涨阴线4--20220130.0上影线最好为0=0.0--实体下影线倍数=1.767870868562649--阴线实体=3.81--阳线实体=0.51--,化纤,华西股份**000936.SZ
--价格中枢看涨阴线4--20220130.0上影线最好为0=0.0--实体下影线倍数=2.5541365907829023--阴线实体=6.09--阳线实体=1.39--,化学制药,广济药业**000952.SZ
--价格中枢看涨阴线4--20220130.0上影线最好为0=0.0--实体下影线倍数=2.5897319400272503--阴线实体=8.58--阳线实体=3.25--,火力发电,长源电力**000966.SZ
--价格中枢看涨阴线4--20220130.0上影线最好为0=0.0--实体下影线倍数=3.2644903397734724--阴线实体=6.38--阳线实体=1.52--,汽车服务,中国中期**000996.SZ
--价格中枢看涨阴线4--20220130.0上影线最好为0=0.0--实体下影线倍数=3.535741737125267--阴线实体=5.64--阳线实体=4.23--,仓储物流,传化智联**002010.SZ
