,ts_code,symbol,name,area,industry,list_date
1074,002579.SZ,002579,中京电子,广东,元器件,20110506
1075,002580.SZ,002580,圣阳股份,山东,电气设备,20110506
1076,002581.SZ,002581,未名医药,山东,生物制药,20110520
1077,002582.SZ,002582,好想你,河南,食品,20110520
1078,002583.SZ,002583,海能达,深圳,通信设备,20110527
1079,002584.SZ,002584,西陇科学,广东,化工原料,20110602
1080,002585.SZ,002585,双星新材,江苏,塑料,20110602
1081,002586.SZ,002586,*ST围海,浙江,建筑工程,20110602
1082,002587.SZ,002587,奥拓电子,深圳,元器件,20110610
1083,002588.SZ,002588,史丹利,山东,农药化肥,20110610
1084,002589.SZ,002589,瑞康医药,山东,医药商业,20110610
1085,002590.SZ,002590,万安科技,浙江,汽车配件,20110610
1086,002591.SZ,002591,恒大高新,江西,环境保护,20110621
1087,002592.SZ,002592,ST八菱,广西,汽车配件,20111111
1088,002593.SZ,002593,日上集团,福建,钢加工,20110628
1089,002594.SZ,002594,比亚迪,深圳,汽车整车,20110630
1090,002595.SZ,002595,豪迈科技,山东,专用机械,20110628
1091,002596.SZ,002596,海南瑞泽,海南,水泥,20110707
1092,002597.SZ,002597,金禾实业,安徽,食品,20110707
1093,002598.SZ,002598,山东章鼓,山东,机械基件,20110707
1094,002599.SZ,002599,盛通股份,北京,广告包装,20110715
1095,002600.SZ,002600,领益智造,广东,元器件,20110715
1096,002601.SZ,002601,龙佰集团,河南,化工原料,20110715
1097,002602.SZ,002602,世纪华通,浙江,互联网,20110728
1098,002603.SZ,002603,以岭药业,河北,中成药,20110728
1099,002605.SZ,002605,姚记科技,上海,互联网,20110805
1100,002606.SZ,002606,大连电瓷,辽宁,电气设备,20110805
1101,002607.SZ,002607,中公教育,安徽,文教休闲,20110810
1102,002608.SZ,002608,江苏国信,江苏,火力发电,20110810
1103,002609.SZ,002609,捷顺科技,深圳,软件服务,20110815
1104,002610.SZ,002610,ST爱康,浙江,电气设备,20110815
1105,002611.SZ,002611,东方精工,广东,轻工机械,20110830
1106,002612.SZ,002612,朗姿股份,北京,服饰,20110830
1107,002613.SZ,002613,北玻股份,河南,专用机械,20110830
1108,002614.SZ,002614,奥佳华,福建,家用电器,20110909
1109,002615.SZ,002615,哈尔斯,浙江,家居用品,20110909
1110,002616.SZ,002616,长青集团,广东,环境保护,20110920
1111,002617.SZ,002617,露笑科技,浙江,电气设备,20110920
1112,002620.SZ,002620,瑞和股份,深圳,装修装饰,20110929
1113,002621.SZ,002621,*ST美吉,辽宁,文教休闲,20110929
1114,002622.SZ,002622,皓宸医疗,吉林,医疗保健,20111018
1115,002623.SZ,002623,亚玛顿,江苏,玻璃,20111013
1116,002624.SZ,002624,完美世界,浙江,互联网,20111028
1117,002625.SZ,002625,光启技术,深圳,航空,20111103
1118,002626.SZ,002626,金达威,福建,医疗保健,20111028
1119,002627.SZ,002627,三峡旅游,湖北,旅游景点,20111103
1120,002628.SZ,002628,成都路桥,四川,建筑工程,20111103
1121,002629.SZ,002629,仁智股份,浙江,石油开采,20111103
1122,002630.SZ,002630,华西能源,四川,专用机械,20111111
1123,002631.SZ,002631,德尔未来,江苏,家居用品,20111111
1124,002632.SZ,002632,道明光学,浙江,塑料,20111122
1125,002633.SZ,002633,申科股份,浙江,机械基件,20111122
1126,002634.SZ,002634,棒杰股份,浙江,服饰,20111205
1127,002635.SZ,002635,安洁科技,江苏,元器件,20111125
1128,002636.SZ,002636,金安国纪,上海,元器件,20111125
1129,002637.SZ,002637,赞宇科技,浙江,日用化工,20111125
1130,002638.SZ,002638,勤上股份,广东,家用电器,20111125
1131,002639.SZ,002639,雪人股份,福建,专用机械,20111205
1132,002640.SZ,002640,跨境通,山西,互联网,20111208
1133,002641.SZ,002641,公元股份,浙江,塑料,20111208
1134,002642.SZ,002642,荣联科技,北京,软件服务,20111220
1135,002643.SZ,002643,万润股份,山东,化工原料,20111220
1136,002644.SZ,002644,佛慈制药,甘肃,中成药,20111222
1137,002645.SZ,002645,华宏科技,江苏,专用机械,20111220
1138,002646.SZ,002646,天佑德酒,青海,白酒,20111222
1139,002647.SZ,002647,仁东控股,广东,多元金融,20111228
1140,002648.SZ,002648,卫星化学,浙江,化工原料,20111228
1141,002649.SZ,002649,博彦科技,北京,软件服务,20120106
1142,002650.SZ,002650,ST加加,湖南,食品,20120106
1143,002651.SZ,002651,利君股份,四川,航空,20120106
1144,002652.SZ,002652,扬子新材,江苏,其他建材,20120119
1145,002653.SZ,002653,海思科,西藏,化学制药,20120117
1146,002654.SZ,002654,万润科技,深圳,互联网,20120217
1147,002655.SZ,002655,共达电声,山东,元器件,20120217
1148,002656.SZ,002656,ST摩登,广东,服饰,20120228
1149,002657.SZ,002657,中科金财,北京,软件服务,20120228
1150,002658.SZ,002658,雪迪龙,北京,环境保护,20120309
1151,002659.SZ,002659,凯文教育,北京,文教休闲,20120309
1152,002660.SZ,002660,茂硕电源,深圳,电气设备,20120316
1153,002661.SZ,002661,克明食品,湖南,食品,20120316
1154,002662.SZ,002662,京威股份,北京,汽车配件,20120309
1155,002663.SZ,002663,普邦股份,广东,建筑工程,20120316
1156,002664.SZ,002664,信质集团,浙江,汽车配件,20120316
1157,002665.SZ,002665,ST航高,甘肃,电气设备,20120327
1158,002666.SZ,002666,德联集团,广东,化工原料,20120327
1159,002667.SZ,002667,威领股份,湖南,小金属,20120329
1160,002668.SZ,002668,TCL智家,广东,家用电器,20120416
1161,002669.SZ,002669,康达新材,上海,化工原料,20120416
1162,002670.SZ,002670,国盛金控,江西,证券,20120416
1163,002671.SZ,002671,龙泉股份,山东,水泥,20120426
1164,002672.SZ,002672,东江环保,深圳,环境保护,20120426
1165,002673.SZ,002673,西部证券,陕西,证券,20120503
1166,002674.SZ,002674,兴业科技,福建,纺织,20120507
1167,002675.SZ,002675,东诚药业,山东,化学制药,20120525
1168,002676.SZ,002676,顺威股份,广东,家用电器,20120525
1169,002677.SZ,002677,浙江美大,浙江,家用电器,20120525
1170,002678.SZ,002678,珠江钢琴,广东,文教休闲,20120530
1171,002679.SZ,002679,福建金森,福建,林业,20120605
1172,002681.SZ,002681,奋达科技,深圳,元器件,20120605
1173,002682.SZ,002682,龙洲股份,福建,仓储物流,20120612
1174,002683.SZ,002683,广东宏大,广东,化工原料,20120612
1175,002685.SZ,002685,华东重机,江苏,机床制造,20120612
1176,002686.SZ,002686,亿利达,浙江,专用机械,20120703
1177,002687.SZ,002687,乔治白,浙江,服饰,20120713
1178,002688.SZ,002688,金河生物,内蒙,农业综合,20120713
1179,002689.SZ,002689,远大智能,辽宁,运输设备,20120717
1180,002690.SZ,002690,美亚光电,安徽,专用机械,20120731
1181,002691.SZ,002691,冀凯股份,河北,专用机械,20120731
1182,002692.SZ,002692,远程股份,江苏,电气设备,20120808
1183,002693.SZ,002693,双成药业,海南,生物制药,20120808
1184,002694.SZ,002694,顾地科技,湖北,塑料,20120816
1185,002695.SZ,002695,煌上煌,江西,食品,20120905
1186,002696.SZ,002696,百洋股份,广西,饲料,20120905
1187,002697.SZ,002697,红旗连锁,四川,超市连锁,20120905
1188,002698.SZ,002698,博实股份,黑龙江,化工机械,20120911
1189,002700.SZ,002700,ST浩源,新疆,供气供热,20120921
1190,002701.SZ,002701,奥瑞金,北京,广告包装,20121011
1191,002702.SZ,002702,海欣食品,福建,食品,20121011
1192,002703.SZ,002703,浙江世宝,浙江,汽车配件,20121102
1193,002705.SZ,002705,新宝股份,广东,家用电器,20140121
1194,002706.SZ,002706,良信股份,上海,电气设备,20140121
1195,002707.SZ,002707,众信旅游,北京,旅游服务,20140123
1196,002708.SZ,002708,光洋股份,江苏,汽车配件,20140121
1197,002709.SZ,002709,天赐材料,广东,化工原料,20140123
1198,002712.SZ,002712,思美传媒,浙江,广告包装,20140123
1199,002713.SZ,002713,东易日盛,北京,装修装饰,20140219
1200,002714.SZ,002714,牧原股份,河南,农业综合,20140128
1201,002715.SZ,002715,登云股份,广东,汽车配件,20140219
1202,002716.SZ,002716,湖南白银,湖南,小金属,20140128
1203,002717.SZ,002717,岭南股份,广东,环境保护,20140219
1204,002718.SZ,002718,友邦吊顶,浙江,其他建材,20140128
1205,002719.SZ,002719,麦趣尔,新疆,乳制品,20140128
1206,002721.SZ,002721,*ST金一,北京,服饰,20140127
1207,002722.SZ,002722,物产金轮,江苏,钢加工,20140128
1208,002723.SZ,002723,小崧股份,广东,家用电器,20140129
1209,002724.SZ,002724,海洋王,深圳,元器件,20141104
1210,002725.SZ,002725,跃岭股份,浙江,汽车配件,20140129
1211,002726.SZ,002726,龙大美食,山东,食品,20140626
1212,002727.SZ,002727,一心堂,云南,医药商业,20140702
1213,002728.SZ,002728,特一药业,广东,中成药,20140731
1214,002729.SZ,002729,好利科技,福建,元器件,20140912
1215,002730.SZ,002730,电光科技,浙江,专用机械,20141009
1216,002731.SZ,002731,萃华珠宝,辽宁,服饰,20141104
1217,002732.SZ,002732,燕塘乳业,广东,乳制品,20141205
1218,002733.SZ,002733,雄韬股份,深圳,电气设备,20141203
1219,002734.SZ,002734,利民股份,江苏,农药化肥,20150127
1220,002735.SZ,002735,王子新材,深圳,塑料,20141203
1221,002736.SZ,002736,国信证券,深圳,证券,20141229
1222,002737.SZ,002737,葵花药业,黑龙江,中成药,20141230
1223,002738.SZ,002738,中矿资源,北京,小金属,20141230
1224,002739.SZ,002739,万达电影,北京,影视音像,20150122
1225,002741.SZ,002741,光华科技,广东,化工原料,20150216
1226,002742.SZ,002742,ST三圣,重庆,水泥,20150217
1227,002743.SZ,002743,富煌钢构,安徽,钢加工,20150217
1228,002745.SZ,002745,木林森,广东,元器件,20150217
1229,002746.SZ,002746,仙坛股份,山东,农业综合,20150216
1230,002747.SZ,002747,埃斯顿,江苏,机械基件,20150320
1231,002748.SZ,002748,ST世龙,江西,化工原料,20150319
1232,002749.SZ,002749,国光股份,四川,农药化肥,20150320
1233,002750.SZ,002750,*ST龙津,云南,中成药,20150324
1234,002752.SZ,002752,昇兴股份,福建,广告包装,20150422
1235,002753.SZ,002753,永东股份,山西,化工原料,20150519
1236,002755.SZ,002755,奥赛康,北京,化学制药,20150515
1237,002756.SZ,002756,永兴材料,浙江,小金属,20150515
1238,002757.SZ,002757,南兴股份,广东,专用机械,20150527
1239,002758.SZ,002758,浙农股份,浙江,批发业,20150527
1240,002759.SZ,002759,天际股份,广东,电气设备,20150528
1241,002760.SZ,002760,凤形股份,江西,机械基件,20150611
1242,002761.SZ,002761,浙江建投,浙江,建筑工程,20150610
1243,002762.SZ,002762,金发拉比,广东,服饰,20150610
1244,002763.SZ,002763,汇洁股份,深圳,服饰,20150610
1245,002765.SZ,002765,蓝黛科技,重庆,元器件,20150612
1246,002766.SZ,002766,索菱股份,深圳,汽车配件,20150611
1247,002767.SZ,002767,先锋电子,浙江,电器仪表,20150612
1248,002768.SZ,002768,国恩股份,山东,塑料,20150630
1249,002769.SZ,002769,普路通,深圳,仓储物流,20150629
1250,002771.SZ,002771,真视通,北京,软件服务,20150629
1251,002772.SZ,002772,众兴菌业,甘肃,种植业,20150626
1252,002773.SZ,002773,康弘药业,四川,化学制药,20150626
1253,002774.SZ,002774,快意电梯,广东,运输设备,20170324
1254,002775.SZ,002775,文科股份,广东,建筑工程,20150629
1255,002777.SZ,002777,久远银海,四川,软件服务,20151231
1256,002778.SZ,002778,中晟高科,江苏,环境保护,20160106
1257,002779.SZ,002779,中坚科技,浙江,农用机械,20151209
1258,002780.SZ,002780,三夫户外,北京,服饰,20151209
1259,002782.SZ,002782,可立克,深圳,元器件,20151222
1260,002783.SZ,002783,凯龙股份,湖北,化工原料,20151209
1261,002785.SZ,002785,万里石,福建,其他建材,20151223
1262,002786.SZ,002786,银宝山新,深圳,专用机械,20151223
1263,002787.SZ,002787,华源控股,江苏,广告包装,20151231
1264,002788.SZ,002788,鹭燕医药,福建,医药商业,20160218
1265,002789.SZ,002789,建艺集团,深圳,装修装饰,20160311
1266,002790.SZ,002790,瑞尔特,福建,家居用品,20160308
1267,002791.SZ,002791,坚朗五金,广东,其他建材,20160329
1268,002792.SZ,002792,通宇通讯,广东,通信设备,20160328
1269,002793.SZ,002793,罗欣药业,山东,化学制药,20160415
1270,002795.SZ,002795,永和智控,浙江,机械基件,20160428
1271,002796.SZ,002796,世嘉科技,江苏,通信设备,20160510
1272,002797.SZ,002797,第一创业,深圳,证券,20160511
1273,002798.SZ,002798,帝欧家居,四川,家居用品,20160525
1274,002799.SZ,002799,环球印务,陕西,广告包装,20160608
1275,002800.SZ,002800,ST天顺,新疆,仓储物流,20160530
1276,002801.SZ,002801,微光股份,浙江,电气设备,20160622
1277,002802.SZ,002802,洪汇新材,江苏,化工原料,20160629
1278,002803.SZ,002803,吉宏股份,福建,互联网,20160712
1279,002805.SZ,002805,丰元股份,山东,电气设备,20160707
1280,002806.SZ,002806,华锋股份,广东,汽车配件,20160726
1281,002807.SZ,002807,江阴银行,江苏,银行,20160902
1282,002808.SZ,002808,ST恒久,江苏,元器件,20160812
1283,002809.SZ,002809,红墙股份,广东,化工原料,20160823
1284,002810.SZ,002810,山东赫达,山东,化工原料,20160826
1285,002811.SZ,002811,郑中设计,深圳,装修装饰,20160908
1286,002812.SZ,002812,恩捷股份,云南,电气设备,20160914
1287,002813.SZ,002813,路畅科技,深圳,汽车配件,20161012
1288,002815.SZ,002815,崇达技术,深圳,元器件,20161012
1289,002816.SZ,002816,*ST和科,深圳,专用机械,20161025
1290,002817.SZ,002817,黄山胶囊,安徽,化学制药,20161025
1291,002818.SZ,002818,富森美,四川,其他商业,20161109
1292,002819.SZ,002819,东方中科,北京,电器仪表,20161111
1293,002820.SZ,002820,桂发祥,天津,食品,20161118
1294,002821.SZ,002821,凯莱英,天津,生物制药,20161118
1295,002822.SZ,002822,ST中装,深圳,装修装饰,20161129
1296,002823.SZ,002823,凯中精密,深圳,机械基件,20161124
1297,002824.SZ,002824,和胜股份,广东,铝,20170112
1298,002825.SZ,002825,纳尔股份,上海,化工原料,20161129
1299,002826.SZ,002826,易明医药,西藏,化学制药,20161209
1300,002827.SZ,002827,高争民爆,西藏,化工原料,20161209
1301,002828.SZ,002828,贝肯能源,新疆,石油开采,20161208
