,trade_date,open,close,high,low
87,20190922,3.0233,3.0044,3.0988,2.9477
86,20190915,3.0233,3.0327,3.0422,2.9949
85,20190908,2.9193,3.0138,3.0422,2.9099
84,20190901,2.9477,2.9099,3.0705,2.9099
83,20190825,2.891,3.0327,3.0422,2.891
82,20190818,2.8532,2.891,2.9004,2.8154
81,20190811,2.9477,2.8532,3.0044,2.8249
80,20190804,3.0516,2.9571,3.0799,2.9382
79,20190728,3.0327,3.0705,3.1744,2.9099
78,20190721,3.0607,3.0327,3.1069,3.0044
77,20190714,3.1347,3.0607,3.1347,3.0422
76,20190707,3.1069,3.1532,3.2641,3.0977
75,20190630,3.1162,3.1162,3.1347,2.9960000000000004
74,20190623,3.0052,3.1347,3.2734,2.9867
73,20190616,2.9867,3.0052,3.2087,2.9219999999999997
72,20190609,2.8943,3.0237,3.4953,2.8758
71,20190602,2.8480000000000003,2.9035,2.9219999999999997,2.8203
70,20190526,2.885,2.8573,2.9219999999999997,2.8018
69,20190519,2.9219999999999997,2.8758,2.9775,2.8573
68,20190512,2.9405,2.9497,2.9960000000000004,2.8480000000000003
67,20190505,3.4121,3.0237,3.4121,2.8943
66,20190428,3.3936,3.0977,3.4491,3.0885
65,20190421,3.3751,3.3844,3.4398,3.2641
64,20190414,3.4583,3.3659,3.4953,3.3289
63,20190407,3.2641,3.4491,3.597,3.2641
62,20190331,3.3104,3.2734,3.3566,3.1162
61,20190324,3.1902,3.3659,3.3844,3.1902
60,20190317,3.0977,3.2087,3.4398,3.0977
59,20190310,3.0977,3.0977,3.3196,3.0977
58,20190303,3.0052,3.0977,3.1902,2.9867
57,20190224,2.9035,2.9960000000000004,3.0422,2.9035
56,20190217,2.8388,2.8943,2.9405,2.8110000000000004
55,20190203,2.9128,2.8480000000000003,2.9219999999999997,2.7463
54,20190127,2.9497,2.8943,2.9497,2.8295
53,20190120,2.9405,2.9219999999999997,2.9589999999999996,2.885
52,20190113,2.8480000000000003,2.9405,3.1347,2.8110000000000004
51,20190106,2.7463,2.8388,2.8573,2.7093
50,20181230,2.9035,2.7371,2.9313,2.6816
49,20181223,2.8110000000000004,2.9219999999999997,3.1902,2.8018
48,20181216,2.8665,2.8388,2.8758,2.8018
47,20181209,2.885,2.8480000000000003,2.9405,2.8480000000000003
46,20181202,2.8018,2.8573,2.9035,2.8018
45,20181125,2.9589999999999996,2.8388,3.0422,2.8203
44,20181118,2.8480000000000003,2.9867,3.0052,2.8388
43,20181111,2.8943,2.8573,2.9128,2.8388
42,20181104,2.7463,2.8665,2.8758,2.7001
41,20181028,2.7463,2.7463,2.8388,2.6631
40,20181021,2.8758,2.7093,2.8758,2.6354
39,20181014,3.07,2.8758,3.07,2.7648
38,20180930,3.0515,3.0885,3.2179,3.033
37,20180923,3.0052,3.07,3.0885,2.9775
36,20180916,3.1162,3.0237,3.1809,2.9775
35,20180909,3.0422,3.1439,3.1532,2.9960000000000004
34,20180902,3.0052,3.0607,3.2364,3.0052
33,20180826,3.0422,3.0237,3.07,2.9775
32,20180819,3.1162,3.0515,3.1902,3.0422
31,20180812,3.1162,3.1162,3.1717,3.033
30,20180805,3.1241,3.1254,3.3011,3.0977
29,20180729,3.0338,3.1603,3.2505,2.9706
28,20180722,2.9887,2.9977,3.0158,2.9345
27,20180715,2.8894,2.9887,3.0068,2.8894
26,20180708,2.9616,2.8984,2.9706,2.8623
25,20180701,2.9435,2.9616,2.9706,2.8984
24,20180624,3.1151,2.9435,3.1151,2.8262
23,20180617,3.386,3.1422,3.4221,3.097
22,20180610,3.3318,3.395,3.4582,3.2957
21,20180603,3.5214,3.3318,3.5395,3.2957
20,20180527,3.5666,3.5214,3.6117,3.5034
19,20180520,3.6207,3.5666,3.6478,3.5305
18,20180513,3.6117,3.6388,3.6749,3.6027
17,20180506,3.6117,3.6117,3.6569,3.5575
16,20180429,3.6659,3.6207,3.7652,3.4943
15,20180422,3.5305,3.5124,3.6839,3.4582
14,20180415,3.5034,3.5575,3.5937,3.5034
13,20180408,3.6117,3.5214,3.6659,3.5124
12,20180401,3.4582,3.6207,3.7923,3.4221
11,20180325,3.6298,3.4672,3.8194,3.4402
10,20180318,3.6388,3.6569,3.9007,3.6117
9,20180311,3.5937,3.6298,3.6478,3.5937
8,20180304,3.5937,3.5937,3.6117,3.5575
7,20180225,3.5395,3.5846,3.5846,3.5214
6,20180218,3.4402,3.5214,3.5305,3.4402
5,20180211,3.5756,3.4492,3.5937,3.404
4,20180204,3.8555,3.5756,3.8555,3.5214
3,20180128,3.7562,3.8555,3.8736,3.7201
2,20180121,3.7472,3.7562,3.7923,3.6569
1,20180114,3.7833,3.7472,3.8284,3.7201
0,20180107,3.7110000000000003,3.7923,3.8013,3.702
