,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma_v_5,ma13,ma_v_13,ma34,ma_v_34,ma144,ma_v_144,ma169,ma_v_169,ma75,ma_v_75
530,603180.SH,20181030,32.3724,33.7183,32.2822,33.3021,32.7401,0.5620000000000047,1.7165,9852.69,46847.826,32.9011,10889.718,32.5848,9470.82,37.3212,8909.9929,66.538,8134.0233,73.3783,7904.0033,45.6054,9220.6333
531,603180.SH,20181029,33.8571,33.982,32.5389,32.7401,33.6906,-0.9505000000000052,-2.8213,9792.2,46808.662,32.7609,10765.138,32.7033,9683.6431,37.6334,8913.5,67.1024,8159.9338,73.8119,7880.737,46.0492,9160.3641
532,603180.SH,20181026,32.3308,34.8284,32.3308,33.6906,31.8867,1.8039000000000023,5.6572,17610.37,85454.153,32.926,11235.844,33.1628,9402.1738,37.9803,8818.9647,67.6914,8147.1199,74.2343,7860.0258,46.4881,9109.7601
533,603180.SH,20181025,31.6439,32.3238,30.8599,31.8867,32.8858,-0.9991000000000021,-3.0381,9479.33,43163.412,32.5722,9093.304,33.5759,8527.7631,38.2772,8502.9403,68.2614,8076.5124,74.6148,7803.4079,46.9022,8939.8467
534,603180.SH,20181024,32.6013,33.5657,32.6013,32.8858,32.6013,0.2845000000000013,0.8727,7714.0,36868.673,32.4529,8522.262,34.0818,8468.0077,38.631,8480.3438,68.8686,8043.1108,75.0311,7773.6131,47.3701,8880.8564
535,603180.SH,20181023,33.4894,33.7877,32.3793,32.6013,33.5657,-0.9643999999999977,-2.8732,9229.79,44103.225,32.3419,8676.632,34.7484,8432.3823,38.9622,8630.5235,69.4629,8037.274,75.4293,7768.9711,47.8582,8856.5592
536,603180.SH,20181022,32.2128,33.975,32.1087,33.5657,31.9214,1.6443000000000012,5.1511,12145.73,57988.299,32.1171,8242.934,35.352,8343.4823,39.3471,8553.5968,70.0861,8010.6435,75.823,7762.0287,48.3207,8824.1048
537,603180.SH,20181019,30.6102,32.1989,30.5269,31.9214,31.2901,0.6312999999999995,2.0176,6897.67,31294.089,31.9603,7022.968,35.9769,8074.1677,39.7042,8531.3365,70.6951,7976.2306,76.2568,7710.4062,48.8168,8744.4255
538,603180.SH,20181018,32.2059,32.2475,31.0819,31.2901,32.3308,-1.0407000000000046,-3.2189,6624.12,29980.8,32.2017,8079.776,36.6803,8156.1931,40.0974,8725.6338,71.2813,7976.7695,76.691,7693.5004,49.2961,8718.6229
539,603180.SH,20181017,32.1989,32.3308,31.1582,32.3308,31.4774,0.8534000000000042,2.7112,8485.85,39100.713,32.9122,9278.83,37.4616,8271.5792,40.4832,8845.3547,71.8586,7971.9478,77.1309,7692.7202,49.82,8711.8021
540,603180.SH,20181016,32.6083,33.1564,30.8807,31.4774,32.7817,-1.3043000000000013,-3.9787,7061.3,32681.017,34.1887,8808.28,38.1202,8219.2246,40.7965,8925.0024,72.4422,7975.9385,77.5775,7681.3244,50.3292,8706.8557
541,603180.SH,20181015,33.2119,34.315,32.6638,32.7817,33.1286,-0.346899999999998,-1.0471,6045.9,29078.362,35.7054,8644.626,38.8594,8766.8669,41.1829,9001.5547,72.9911,7954.3322,78.0015,7666.0675,50.8016,8673.6281
542,603180.SH,20181012,33.9126,34.3705,32.2753,33.1286,34.8423,-1.7137000000000029,-4.9184,12181.71,58684.138,36.8418,9175.948,39.3797,9102.6723,41.5441,9049.4974,73.5306,7944.0273,78.4132,7685.4233,51.2738,8668.6161
543,603180.SH,20181011,36.771,37.3954,34.8423,34.8423,38.7137,-3.8714000000000013,-10.0001,12619.39,64984.512,38.5264,8189.78,39.772,8859.8362,41.8588,8974.8512,74.0751,7884.9876,78.8022,7640.2236,51.7309,8625.9564
544,603180.SH,20181010,39.5462,40.018,38.6582,38.7137,39.0606,-0.346899999999998,-0.8881,6133.1,34774.578,39.6475,7280.72,40.2304,8308.4538,42.171,8879.0518,74.6065,7826.5856,79.1646,7580.671,52.2152,8535.5504
545,603180.SH,20181009,38.3806,39.5462,38.3806,39.0606,38.4639,0.5966999999999985,1.5513,6243.03,35084.205,40.2428,7783.028,40.4551,8383.4162,42.3579,8935.7132,75.0957,7813.8176,79.5038,7565.1427,52.6561,8576.9511
546,603180.SH,20181008,40.8922,40.9199,38.2349,38.4639,41.5513,-3.0873999999999953,-7.4303,8702.51,49615.542,40.6438,8127.222,40.6259,8822.8692,42.592,9002.2221,75.6009,7808.6924,79.8511,7548.2372,53.187,8548.7644
547,603180.SH,20180928,41.1072,41.6276,40.6563,41.5513,40.4481,1.103200000000001,2.7274,7250.87,43065.735,41.2404,8011.548,40.7732,8630.4054,42.846,9083.7091,76.1038,7803.0937,80.1949,7519.7086,53.7224,8507.7809
548,603180.SH,20180927,41.8149,41.8774,40.2886,40.4481,41.69,-1.2419000000000011,-2.9789,8074.09,47907.994,41.1086,8122.422,40.6723,8579.3585,43.0044,9380.7129,76.5507,7804.8902,80.5147,7498.5975,54.2471,8505.0264
549,603180.SH,20180926,41.2807,41.9606,39.2201,41.69,41.0656,0.6243999999999943,1.5205,8644.64,51280.553,41.2363,9343.734,40.7385,8524.6554,43.1417,9592.0132,76.9974,7804.334,80.8467,7476.0659,54.788,8530.7363
550,603180.SH,20180925,41.0379,42.2798,40.8852,41.0656,41.4472,-0.38159999999999883,-0.9207,7964.0,47597.603,40.8075,9697.08,40.683,8391.4985,43.1858,9849.2885,77.451,7790.3992,81.1617,7455.3002,55.3173,8569.2703
551,603180.SH,20180921,41.2529,41.5374,40.8575,41.4472,40.8922,0.5549999999999997,1.3572,8124.14,48277.156,40.24,9909.248,40.7294,8783.6515,43.3545,10294.8868,77.9021,7810.0937,81.4768,7442.0407,55.7789,8556.0485
552,603180.SH,20180920,41.4541,41.4541,40.6424,40.8922,41.0864,-0.19419999999999504,-0.4727,7805.24,46040.249,40.111,9374.704,40.9194,8925.7892,43.6004,10320.7456,78.3828,7790.5892,81.7759,7422.7218,56.2849,8538.9584
553,603180.SH,20180919,39.9278,41.7594,39.6711,41.0864,39.5462,1.5401999999999987,3.8947,14180.65,83351.828,40.2594,9235.178,41.1996,8831.3862,43.9194,10252.2974,78.8663,7769.2751,82.0723,7420.2517,56.7759,8531.1955
554,603180.SH,20180918,38.2835,40.0943,38.2835,39.5462,38.228,1.3181999999999974,3.4483,10411.37,58665.97,40.2983,8790.232,41.4072,8268.6854,44.2665,10113.0062,79.3517,7717.6594,82.375,7369.8066,57.3001,8415.3641
555,603180.SH,20180917,40.802,40.802,37.4787,38.228,40.802,-2.573999999999998,-6.3085,9024.84,50383.748,40.4648,7948.054,41.7434,8137.8915,44.7099,10054.8779,79.8508,7684.0476,82.6882,7403.5826,57.8365,8368.7596
556,603180.SH,20180914,41.6345,41.6345,40.7326,40.802,41.6345,-0.8325000000000031,-1.9995,5451.42,32282.919,40.8672,7460.538,42.1986,8429.8354,45.2657,9913.13,80.3255,7662.4911,83.0459,7377.5362,58.3977,8345.714
