,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma_v_5,ma13,ma_v_13,ma34,ma_v_34,ma144,ma_v_144,ma169,ma_v_169,ma75,ma_v_75,ma10,ma_v_10,ma20,ma_v_20,ma30,ma_v_30,ma60,ma_v_60
94,600809.SH,20210719,366.0,378.72,363.5,373.8,370.11,3.6899999999999977,0.997,58606.93,2182024.131,362.958,94263.73,338.3774,85919.8031,335.5186,68279.4453,280.5078,68772.1553,266.726,66650.1696,307.5702,60445.244,343.048,92073.528,332.0865,77055.197,335.8552,71758.9043,321.6317,61906.85
95,600809.SH,20210716,372.51,379.45,365.41,370.11,374.15,-4.039999999999964,-1.0798,69481.23,2581282.777,350.398,101317.442,334.2294,84215.15,334.2449,67805.9062,279.3777,68687.6713,265.509,66671.3924,305.8458,60544.1579,338.544,94740.332,330.2221,77973.8545,334.8003,71173.606,319.6757,62106.5087
96,600809.SH,20210715,357.06,376.61,350.0,374.15,355.53,18.620000000000005,5.2373,98954.14,3648012.737,339.716,108693.038,330.4037,82999.8485,332.8598,66961.8121,278.2554,68780.0583,264.3108,66467.3066,304.1056,60598.5121,332.5124,94283.594,329.1763,77013.39,333.6925,70838.9437,317.726,61716.8622
97,600809.SH,20210714,339.2,358.88,336.36,355.53,341.2,14.329999999999984,4.1999,108376.5,3826056.461,332.686,107832.132,326.1255,79026.9877,331.169,65423.1812,277.0434,68629.5997,263.0863,66162.7993,302.1519,59879.2183,328.0846,88991.514,328.2194,74282.775,332.0381,68613.4923,315.6671,60833.651
98,600809.SH,20210713,335.0,342.0,318.2,341.2,311.0,30.19999999999999,9.7106,135899.85,4548516.699,327.178,99561.812,323.3121,74747.4492,330.1414,63715.3115,275.9226,68314.7059,261.9606,65798.5725,300.4389,59277.5789,324.5192,81798.508,327.6141,70995.104,331.1348,66202.7447,313.9304,59786.6918
99,600809.SH,20210712,316.88,316.88,294.2,311.0,316.7,-5.699999999999989,-1.7998,93875.49,2880943.944,323.138,89883.326,321.4301,70535.2046,329.7379,61469.045,274.8676,67766.7316,260.8964,65334.6383,298.8876,58025.7869,322.4368,73576.754,327.9045,66652.558,330.7779,63089.6363,312.4447,58202.5005
100,600809.SH,20210709,337.6,337.6,312.0,316.7,339.0,-22.30000000000001,-6.5782,106359.21,3388593.332,326.69,88163.222,321.3461,71643.4554,329.9826,59866.7529,274.0024,67441.9046,260.0261,65125.0131,297.7474,57467.9205,323.1902,68919.9,329.1427,65047.511,331.1785,61319.8543,311.3788,57438.2013
101,600809.SH,20210708,330.0,350.0,330.0,339.0,327.99,11.009999999999991,3.3568,94649.61,3248244.081,325.3088,79874.15,323.0185,66888.5069,330.076,58113.5244,273.1069,67148.3432,259.1033,64909.8892,296.5045,56918.6272,323.4157,63558.229,330.7049,62914.235,331.1773,59329.237,310.2739,56430.6695
102,600809.SH,20210707,318.69,329.71,317.01,327.99,321.0,6.990000000000009,2.1776,67024.9,2173758.093,323.4833,70150.896,322.8271,65529.3123,329.6122,56786.32,272.0287,66822.1942,258.0716,64825.1863,295.051,56652.7421,321.1891,62207.335,330.3913,61334.789,330.5636,57851.2143,308.7651,55925.268
103,600809.SH,20210706,320.0,328.88,312.0,321.0,328.76,-7.759999999999991,-2.3604,87507.42,2796869.574,321.8605,64035.204,324.4582,64240.6231,329.1776,55750.4159,270.9878,66638.417,257.0751,64833.0782,293.5991,56712.892,319.381,66333.12,330.4982,63125.6155,330.5466,57601.2773,307.6422,55894.9098
