modecode,modename,info
c10,结界,---结界--20211210--青岛银行**002948.SZ
c10,结界,---结界--20211210--杉杉股份--有钱君股票池**600884.SH
c10,结界,---结界--20211210--中新集团**601512.SH
c10,结界,---结界--20211210--海利得**002206.SZ
c10,结界,---结界--20211210--湖北宜化--强势股票**000422.SZ
c10,结界,---结界--20211210--创力集团**603012.SH
c11,起爆均线3,144-169不满足上涨-----起爆均线3----20211210--南京证券**601990.SH
c11,起爆均线3,144-169不满足上涨-----起爆均线3----20211210--特发信息**000070.SZ
c11,起爆均线1,169不满足上涨-----起爆均线1----20211209--华数传媒**000156.SZ
c11,起爆均线3,144-169不满足上涨-----起爆均线3----20211210--引力传媒**603598.SH
c11,起爆均线3,144-169不满足上涨-----起爆均线3----20211210--天创时尚--强势股票**603608.SH
c11,起爆均线3,144-169不满足上涨-----起爆均线3----20211210--浦东金桥**600639.SH
c11,起爆均线3,144-169不满足上涨-----起爆均线3----20211210--雷柏科技**002577.SZ
c11,起爆均线3,144-169不满足上涨-----起爆均线3----20211210--新乳业**002946.SZ
c11,起爆均线1,169不满足上涨-----起爆均线1----20211209--万向德农**600371.SH
c11,起爆均线3,144-169不满足上涨-----起爆均线3----20211210--雪松发展--强势股票**002485.SZ
c11,起爆均线3,144-169不满足上涨-----起爆均线3----20211210--西藏旅游--强势股票**600749.SH
c11,起爆均线3,144-169不满足上涨-----起爆均线3----20211210--远东传动**002406.SZ
c11,起爆均线3,144-169不满足上涨-----起爆均线3----20211210--兴民智通**002355.SZ
c11,起爆均线3,144-169不满足上涨-----起爆均线3----20211210--慈文传媒**002343.SZ
c11,起爆均线3,144-169不满足上涨-----起爆均线3----20211210--祥龙电业**600769.SH
c11,起爆均线1,169满足上涨-----起爆均线1----20211209--蔚蓝生物**603739.SH
c11,起爆均线3,144-169满足上涨-----起爆均线3----20211210--奥康国际**603001.SH
c11,起爆均线3,144-169不满足上涨-----起爆均线3----20211210--豪尔赛**002963.SZ
c11,起爆均线3,144-169不满足上涨-----起爆均线3----20211210--沃格光电**603773.SH
c11,起爆均线3,144-169不满足上涨-----起爆均线3----20211210--空港股份**600463.SH
c12,看跌做涨,-阴线实体=3.96-----看跌做涨 缩量大阴线  ----20211209--中交地产--强势股票**000736.SZ
c12,看跌做涨,-阴线实体=6.37-----看跌做涨 缩量大阴线  ----20211209--光洋股份**002708.SZ
c13,飞龙在天,"xiao_K_shiti=0.06-----飞龙在天, 超短线  ----20211208--京城股份**600860.SH"
c13,飞龙在天,"xiao_K_shiti=0.0-----飞龙在天, 超短线  ----20211208--西仪股份**002265.SZ"
c13,飞龙在天,"xiao_K_shiti=0.0-----飞龙在天, 超短线  ----20211208--迪生力**603335.SH"
c15,反客为主Plus,--阴线涨幅=-1.13--阴线振幅=5.49--阳线涨幅=9.9673--阳线大小=9.8810-60周向上-----反客为主Plus 强庄主力仅用一天的强势洗盘 ----20211209--时代新材--强势股票**600458.SH
c21,隔山打牛,明显放量= 3.53倍--中阳线实体= 3.19-----隔山打牛 放量中阳线 捕捉涨停  ----600029.SH ----20211206--南方航空--强势股票**600029.SH
c21,隔山打牛,明显放量= 2.8倍--中阳线实体= 3.28-----隔山打牛 放量中阳线 捕捉涨停  ----600004.SH ----20211206--白云机场--强势股票**600004.SH
c21,隔山打牛,明显放量= 2.35倍--中阳线实体= 4.32-----隔山打牛 放量中阳线 捕捉涨停  ----002918.SZ ----20211206--蒙娜丽莎**002918.SZ
c21,隔山打牛,明显放量= 2.32倍--中阳线实体= 4.39-----隔山打牛 放量中阳线 捕捉涨停  ----600080.SH ----20211206--金花股份--强势股票**600080.SH
c21,隔山打牛,明显放量= 4.94倍--中阳线实体= 2.96-----隔山打牛 放量中阳线 捕捉涨停  ----002949.SZ ----20211206--华阳国际**002949.SZ
c21,隔山打牛,明显放量= 2.08倍--中阳线实体= 4.91-----隔山打牛 放量中阳线 捕捉涨停  ----600329.SH ----20211206--中新药业--强势股票**600329.SH
c21,隔山打牛,明显放量= 2.17倍--中阳线实体= 4.23-----隔山打牛 放量中阳线 捕捉涨停  ----600507.SH ----20211206--方大特钢--强势股票**600507.SH
c21,隔山打牛,明显放量= 2.0倍--中阳线实体= 1.61-----隔山打牛 放量中阳线 捕捉涨停  ----600426.SH ----20211206--华鲁恒升--有钱君股票池**600426.SH
c21,隔山打牛,明显放量= 2.21倍--中阳线实体= 3.7-----隔山打牛 放量中阳线 捕捉涨停  ----603515.SH ----20211206--欧普照明**603515.SH
