trade_date,ts_code,close,open,high,low,pre_close,change,pct_chg,vol,amount,WeekMa10,WeekMa60,Week60-10,Week10-60
20210226,603139.SH,15.8081,15.9376,16.2962,15.5691,15.848,-0.03990000000000116,-0.2518,1723171.0,27655879.0,15.780219999999982,17.8777883333333,2.0975683333333173,-2.0975683333333173
20210219,603139.SH,15.848,15.3599,15.8579,15.2503,15.32,0.5280000000000005,3.4465,558469.0,8748009.0,15.912699999999983,17.891533333333303,1.97883333333332,-1.97883333333332
20210210,603139.SH,15.32,15.4097,15.4097,14.8419,15.0112,0.30879999999999974,2.0571,625720.0,9482262.0,16.093989999999984,17.904613333333305,1.8106233333333215,-1.8106233333333215
20210205,603139.SH,15.0112,15.0013,15.4396,14.553,14.9814,0.029799999999999827,0.1989,1396512.0,21111531.0,16.403779999999983,17.919884999999972,1.516104999999989,-1.516104999999989
20210129,603139.SH,14.9814,16.2863,16.2863,14.8718,16.5452,-1.5638000000000005,-9.4517,2821990.0,43797929.0,16.750429999999984,17.944433333333304,1.1940033333333204,-1.1940033333333204
20210122,603139.SH,16.5452,15.3001,18.0494,15.0411,15.1706,1.374600000000001,9.0609,4051060.0,67184999.0,17.154839999999982,17.962704999999975,0.8078649999999925,-0.8078649999999925
20210115,603139.SH,15.1706,15.6089,15.6089,14.5331,15.6288,-0.4581999999999997,-2.9318,2638801.0,39534616.0,17.412829999999982,17.951774999999977,0.5389449999999947,-0.5389449999999947
20210108,603139.SH,15.6288,16.8042,17.2326,15.2503,16.7146,-1.0858000000000008,-6.4961,2416877.0,39517346.0,17.830199999999984,17.96325833333331,0.13305833333332728,-0.13305833333332728
20201231,603139.SH,16.7146,16.7345,17.0732,16.107,16.7743,-0.05969999999999942,-0.3559,1824470.0,30266931.0,18.13699999999998,17.987756666666645,-0.1492433333333345,0.1492433333333345
20201225,603139.SH,16.7743,17.113,17.6808,16.5353,17.1329,-0.35859999999999914,-2.093,1642485.0,28242995.0,18.33720999999998,17.997131666666643,-0.3400783333333379,0.3400783333333379
20201218,603139.SH,17.1329,17.641,17.9697,17.0732,17.6609,-0.5280000000000022,-2.9897,1602653.0,28140416.0,18.57129999999998,17.99807833333331,-0.5732216666666687,0.5732216666666687
20201211,603139.SH,17.6609,18.5673,18.5673,17.5812,18.4179,-0.7569999999999979,-4.1101,1778500.0,32360403.0,18.74661999999998,17.98445666666664,-0.7621633333333371,0.7621633333333371
20201204,603139.SH,18.4179,18.4777,18.7566,18.2386,18.4777,-0.05979999999999919,-0.3236,2227479.0,41480466.0,18.81135999999998,17.970294999999975,-0.841065000000004,0.841065000000004
20201127,603139.SH,18.4777,19.0953,19.0953,18.3283,19.0255,-0.5478000000000023,-2.8793,2221373.0,41620652.0,18.84323999999998,17.938561666666644,-0.9046783333333366,0.9046783333333366
20201120,603139.SH,19.0255,19.165,19.3941,18.8064,19.1251,-0.0995999999999988,-0.5208,2106881.0,40356028.0,18.84821999999998,17.90483999999998,-0.9433800000000012,0.9433800000000012
20201113,603139.SH,19.1251,19.2845,19.8025,18.916,19.3443,-0.21920000000000073,-1.1332,2548478.0,49675779.0,18.769529999999982,17.872891666666646,-0.8966383333333354,0.8966383333333354
20201106,603139.SH,19.3443,18.8263,19.5236,18.4478,18.6968,0.6475000000000009,3.4632,3145465.0,60538422.0,18.86316999999998,17.839778333333314,-1.0233916666666651,1.0233916666666651
20201030,603139.SH,18.6968,18.6869,19.6531,18.3083,18.7167,-0.019899999999999807,-0.1063,2842763.0,53831323.0,18.94982999999998,17.798551666666647,-1.1512783333333338,1.1512783333333338
