,ts_code,symbol,name,area,industry,list_date
236,000718.SZ,000718,苏宁环球,吉林,区域地产,19970408
237,000719.SZ,000719,中原传媒,河南,出版业,19970331
238,000720.SZ,000720,新能泰山,山东,区域地产,19970509
239,000721.SZ,000721,西安饮食,陕西,酒店餐饮,19970430
240,000722.SZ,000722,湖南发展,湖南,水力发电,19970522
241,000723.SZ,000723,美锦能源,山西,焦炭加工,19970515
242,000725.SZ,000725,京东方A,北京,元器件,20010112
243,000726.SZ,000726,鲁泰A,山东,纺织,20001225
244,000727.SZ,000727,冠捷科技,江苏,元器件,19970520
245,000728.SZ,000728,国元证券,安徽,证券,19970616
246,000729.SZ,000729,燕京啤酒,北京,啤酒,19970716
247,000731.SZ,000731,四川美丰,四川,农药化肥,19970617
248,000732.SZ,000732,泰禾集团,福建,区域地产,19970704
249,000733.SZ,000733,振华科技,贵州,元器件,19970703
250,000735.SZ,000735,罗牛山,海南,农业综合,19970611
251,000736.SZ,000736,中交地产,重庆,全国地产,19970425
252,000737.SZ,000737,南风化工,山西,日用化工,19970428
253,000738.SZ,000738,航发控制,江苏,航空,19970626
254,000739.SZ,000739,普洛药业,浙江,化学制药,19970509
255,000750.SZ,000750,国海证券,广西,证券,19970709
256,000751.SZ,000751,锌业股份,辽宁,铅锌,19970626
257,000753.SZ,000753,漳州发展,福建,汽车服务,19970626
258,000755.SZ,000755,山西路桥,山西,路桥,19970627
259,000756.SZ,000756,新华制药,山东,化学制药,19970806
260,000757.SZ,000757,浩物股份,四川,汽车配件,19970627
261,000758.SZ,000758,中色股份,北京,铅锌,19970416
262,000759.SZ,000759,中百集团,湖北,超市连锁,19970519
263,000761.SZ,000761,本钢板材,辽宁,普钢,19980115
264,000762.SZ,000762,西藏矿业,西藏,小金属,19970708
265,000766.SZ,000766,通化金马,吉林,化学制药,19970430
266,000767.SZ,000767,晋控电力,山西,火力发电,19970609
267,000768.SZ,000768,中航西飞,陕西,航空,19970626
268,000776.SZ,000776,广发证券,广东,证券,19970611
269,000777.SZ,000777,中核科技,江苏,机械基件,19970710
270,000778.SZ,000778,新兴铸管,河北,钢加工,19970606
271,000779.SZ,000779,甘咨询,甘肃,建筑工程,19970528
272,000782.SZ,000782,美达股份,广东,化纤,19970619
273,000783.SZ,000783,长江证券,湖北,证券,19970731
274,000785.SZ,000785,居然之家,湖北,百货,19970711
275,000786.SZ,000786,北新建材,北京,其他建材,19970606
276,000788.SZ,000788,北大医药,重庆,化学制药,19970616
277,000789.SZ,000789,万年青,江西,水泥,19970923
278,000790.SZ,000790,华神科技,四川,中成药,19980327
279,000791.SZ,000791,甘肃电投,甘肃,水力发电,19971014
280,000792.SZ,000792,盐湖股份,青海,化工原料,19970904
281,000793.SZ,000793,华闻集团,海南,出版业,19970729
282,000795.SZ,000795,英洛华,山西,矿物制品,19970808
283,000796.SZ,000796,凯撒旅业,海南,旅游服务,19970703
284,000797.SZ,000797,中国武夷,福建,全国地产,19970715
285,000798.SZ,000798,中水渔业,北京,渔业,19980212
286,000799.SZ,000799,酒鬼酒,湖南,白酒,19970718
287,000800.SZ,000800,一汽解放,吉林,汽车整车,19970618
288,000801.SZ,000801,四川九洲,四川,通信设备,19980506
289,000803.SZ,000803,北清环能,四川,环境保护,19980303
290,000807.SZ,000807,云铝股份,云南,铝,19980408
291,000809.SZ,000809,铁岭新城,辽宁,区域地产,19980616
292,000810.SZ,000810,创维数字,四川,家用电器,19980602
293,000811.SZ,000811,冰轮环境,山东,工程机械,19980528
294,000812.SZ,000812,陕西金叶,陕西,广告包装,19980623
295,000813.SZ,000813,德展健康,新疆,化学制药,19980519
296,000815.SZ,000815,美利云,宁夏,造纸,19980609
297,000816.SZ,000816,智慧农业,江苏,农用机械,19970818
298,000818.SZ,000818,航锦科技,辽宁,化工原料,19971017
299,000819.SZ,000819,岳阳兴长,湖南,石油加工,19970625
300,000821.SZ,000821,京山轻机,湖北,轻工机械,19980626
301,000822.SZ,000822,山东海化,山东,化工原料,19980703
302,000823.SZ,000823,超声电子,广东,元器件,19971008
303,000825.SZ,000825,太钢不锈,山西,特种钢,19981021
304,000826.SZ,000826,启迪环境,湖北,环境保护,19980225
305,000828.SZ,000828,东莞控股,广东,路桥,19970617
306,000829.SZ,000829,天音控股,江西,其他商业,19971202
307,000830.SZ,000830,鲁西化工,山东,农药化肥,19980807
308,000831.SZ,000831,五矿稀土,山西,小金属,19980911
309,000833.SZ,000833,粤桂股份,广西,食品,19981111
310,000836.SZ,000836,富通信息,天津,通信设备,19970929
311,000837.SZ,000837,秦川机床,陕西,机床制造,19980928
312,000838.SZ,000838,财信发展,重庆,区域地产,19970626
313,000839.SZ,000839,中信国安,北京,综合类,19971031
314,000848.SZ,000848,承德露露,河北,软饮料,19971113
315,000850.SZ,000850,华茂股份,安徽,纺织,19981007
316,000851.SZ,000851,高鸿股份,贵州,通信设备,19980609
317,000852.SZ,000852,石化机械,湖北,化工机械,19981126
318,000856.SZ,000856,冀东装备,河北,机械基件,19980813
319,000858.SZ,000858,五粮液,四川,白酒,19980427
320,000859.SZ,000859,国风塑业,安徽,塑料,19981119
321,000860.SZ,000860,顺鑫农业,北京,白酒,19981104
322,000861.SZ,000861,海印股份,广东,其他商业,19981028
323,000862.SZ,000862,银星能源,宁夏,新型电力,19980915
324,000863.SZ,000863,三湘印象,上海,区域地产,19970925
325,000868.SZ,000868,安凯客车,安徽,汽车整车,19970725
326,000869.SZ,000869,张裕A,山东,红黄酒,20001026
327,000875.SZ,000875,吉电股份,吉林,火力发电,20020926
328,000876.SZ,000876,新希望,四川,饲料,19980311
329,000877.SZ,000877,天山股份,新疆,水泥,19990107
330,000878.SZ,000878,云南铜业,云南,铜,19980602
331,000880.SZ,000880,潍柴重机,山东,机械基件,19980402
332,000881.SZ,000881,中广核技,辽宁,综合类,19980902
333,000882.SZ,000882,华联股份,北京,其他商业,19980616
334,000883.SZ,000883,湖北能源,湖北,火力发电,19980519
335,000885.SZ,000885,城发环境,河南,路桥,19990319
336,000886.SZ,000886,海南高速,海南,路桥,19980123
337,000887.SZ,000887,中鼎股份,安徽,橡胶,19981203
338,000888.SZ,000888,峨眉山A,四川,旅游景点,19971021
339,000889.SZ,000889,中嘉博创,河北,通信设备,19971218
340,000890.SZ,000890,法尔胜,江苏,钢加工,19990119
341,000892.SZ,000892,欢瑞世纪,重庆,影视音像,19990115
342,000893.SZ,000893,亚钾国际,广东,农药化肥,19981224
343,000895.SZ,000895,双汇发展,河南,食品,19981210
344,000897.SZ,000897,津滨发展,天津,区域地产,19990422
345,000898.SZ,000898,鞍钢股份,辽宁,普钢,19971225
346,000899.SZ,000899,赣能股份,江西,火力发电,19971126
347,000900.SZ,000900,现代投资,湖南,路桥,19990128
348,000901.SZ,000901,航天科技,黑龙江,汽车配件,19990401
349,000902.SZ,000902,新洋丰,湖北,农药化肥,19990408
350,000903.SZ,000903,云内动力,云南,机械基件,19990415
351,000905.SZ,000905,厦门港务,福建,港口,19990429
352,000906.SZ,000906,浙商中拓,浙江,批发业,19990707
353,000908.SZ,000908,景峰医药,湖南,化学制药,19990203
354,000909.SZ,000909,数源科技,浙江,综合类,19990507
355,000910.SZ,000910,大亚圣象,江苏,家居用品,19990630
356,000911.SZ,000911,南宁糖业,广西,食品,19990527
357,000912.SZ,000912,泸天化,四川,农药化肥,19990603
358,000913.SZ,000913,钱江摩托,浙江,摩托车,19990514
359,000915.SZ,000915,华特达因,山东,化学制药,19990609
360,000917.SZ,000917,电广传媒,湖南,影视音像,19990325
361,000918.SZ,000918,嘉凯城,浙江,全国地产,19990720
362,000919.SZ,000919,金陵药业,江苏,化学制药,19991118
363,000920.SZ,000920,南方汇通,贵州,环境保护,19990616
364,000921.SZ,000921,海信家电,广东,家用电器,19990713
365,000922.SZ,000922,佳电股份,黑龙江,电气设备,19990618
366,000923.SZ,000923,河钢资源,河北,普钢,19990714
367,000925.SZ,000925,众合科技,浙江,专用机械,19990611
368,000926.SZ,000926,福星股份,湖北,区域地产,19990618
369,000927.SZ,000927,中国铁物,天津,批发业,19990727
370,000928.SZ,000928,中钢国际,吉林,建筑工程,19990312
371,000929.SZ,000929,兰州黄河,甘肃,啤酒,19990623
372,000930.SZ,000930,中粮科技,安徽,农业综合,19990712
373,000931.SZ,000931,中关村,北京,生物制药,19990712
374,000932.SZ,000932,华菱钢铁,湖南,普钢,19990803
375,000933.SZ,000933,神火股份,河南,铝,19990831
376,000935.SZ,000935,四川双马,四川,水泥,19990824
377,000936.SZ,000936,华西股份,江苏,化纤,19990810
378,000937.SZ,000937,冀中能源,河北,煤炭开采,19990909
379,000938.SZ,000938,紫光股份,北京,软件服务,19991104
380,000948.SZ,000948,南天信息,云南,软件服务,19991014
381,000949.SZ,000949,新乡化纤,河南,化纤,19991021
382,000950.SZ,000950,重药控股,重庆,医药商业,19990916
383,000951.SZ,000951,中国重汽,山东,汽车整车,19991125
384,000952.SZ,000952,广济药业,湖北,化学制药,19991112
385,000953.SZ,000953,河化股份,广西,化学制药,19991202
386,000955.SZ,000955,欣龙控股,海南,纺织,19991209
387,000957.SZ,000957,中通客车,山东,汽车整车,20000113
388,000958.SZ,000958,东方能源,河北,多元金融,19991223
389,000959.SZ,000959,首钢股份,北京,普钢,19991216
390,000960.SZ,000960,锡业股份,云南,小金属,20000221
391,000961.SZ,000961,中南建设,江苏,建筑工程,20000301
392,000962.SZ,000962,东方钽业,宁夏,小金属,20000120
393,000963.SZ,000963,华东医药,浙江,化学制药,20000127
394,000965.SZ,000965,天保基建,天津,区域地产,20000406
395,000966.SZ,000966,长源电力,湖北,火力发电,20000316
396,000967.SZ,000967,盈峰环境,浙江,环境保护,20000330
397,000968.SZ,000968,蓝焰控股,山西,煤炭开采,20000622
398,000969.SZ,000969,安泰科技,北京,钢加工,20000529
399,000970.SZ,000970,中科三环,北京,元器件,20000420
400,000973.SZ,000973,佛塑科技,广东,塑料,20000525
401,000975.SZ,000975,银泰黄金,内蒙,黄金,20000608
402,000976.SZ,000976,华铁股份,广东,运输设备,20000601
403,000977.SZ,000977,浪潮信息,山东,IT设备,20000608
404,000978.SZ,000978,桂林旅游,广西,旅游景点,20000518
405,000982.SZ,000982,中银绒业,宁夏,纺织,20000706
406,000983.SZ,000983,山西焦煤,山西,煤炭开采,20000726
407,000985.SZ,000985,大庆华科,黑龙江,化工原料,20000726
408,000987.SZ,000987,越秀金控,广东,多元金融,20000718
