,trade_date,open,close,high,low
207,20220116,19.27,20.38,21.11,19.27
206,20220109,20.16,19.27,20.69,18.58
205,20220102,19.9,20.16,20.55,19.7
204,20211226,19.86,19.9,20.22,19.24
203,20211219,19.89,20.03,20.93,19.49
202,20211212,20.66,19.88,20.75,19.42
201,20211205,18.73,20.66,20.66,18.0
200,20211128,19.49,18.73,19.65,18.48
199,20211121,19.93,19.47,20.36,19.15
198,20211114,19.05,19.7,20.87,18.78
197,20211107,16.16,18.78,19.37,16.1
196,20211031,16.76,16.63,16.98,16.02
195,20211024,16.97,16.81,17.29,16.6
194,20211017,18.11,17.0,18.36,17.0
193,20211010,18.45,18.08,18.51,17.81
192,20211003,17.19,18.17,18.38,16.82
191,20210926,17.05,17.17,17.23,16.81
190,20210919,17.3,17.05,18.61,16.95
189,20210912,17.16,17.29,17.39,16.72
188,20210905,17.69,17.12,17.7,16.01
187,20210829,19.71,18.15,20.04,17.16
186,20210822,19.77,19.71,21.22,19.46
185,20210815,20.26,19.77,20.59,19.73
184,20210808,19.67,20.32,21.39,19.6
183,20210801,20.11,19.85,20.46,19.27
182,20210725,21.27,20.11,21.61,20.06
181,20210718,19.94,21.27,22.99,19.72
180,20210711,21.22,19.96,21.32,19.19
179,20210704,21.69,21.29,22.61,21.1
178,20210627,21.33,21.72,22.83,20.85
177,20210620,21.64,21.29,21.71,20.29
176,20210613,22.12,21.64,22.36,21.33
175,20210606,22.38,21.98,22.91,21.61
174,20210530,25.1,22.56,25.1,22.31
173,20210523,24.26,24.95,25.89,24.07
172,20210516,25.18,24.26,25.67,23.08
171,20210509,26.13,24.63,26.27,24.63
170,20210502,26.76,26.09,27.32,25.53
169,20210425,25.1,26.39,26.54,24.5
168,20210418,26.67,25.16,27.0,24.61
167,20210411,25.42,27.06,27.17,24.88
166,20210404,25.51,25.42,25.9,23.4
165,20210328,24.73,25.43,27.82,24.66
164,20210321,23.85,24.37,26.59,22.47
163,20210314,22.11,23.83,24.32,21.69
162,20210307,19.02,21.56,21.56,19.02
161,20210228,20.28,18.9,20.46,18.43
160,20210221,21.15,20.47,21.15,19.85
159,20210214,19.83,20.33,21.22,19.77
158,20210207,17.02,20.36,20.52,15.97
157,20210131,17.7,16.85,18.79,16.68
156,20210124,16.38,17.84,18.2,15.91
155,20210117,16.37,16.37,17.19,15.61
154,20210110,16.97,16.37,17.0,16.03
153,20210103,17.46,17.08,17.51,16.66
152,20201227,19.12,17.52,19.3,16.98
151,20201220,19.69,19.3,20.91,18.38
150,20201213,20.06,19.59,20.77,19.49
149,20201206,18.85,20.07,20.14,18.62
148,20201129,20.33,18.94,20.73,18.72
147,20201122,19.96,20.26,21.1,19.31
146,20201115,20.96,19.8,21.27,19.52
145,20201108,21.98,21.09,22.3,20.69
144,20201101,22.05,21.93,23.71,21.45
143,20201025,23.71,22.13,23.73,21.93
142,20201018,21.93,23.43,24.04,21.93
141,20201011,21.43,21.54,22.08,21.31
140,20201004,21.5,21.06,21.72,20.89
139,20200927,22.65,21.39,22.71,21.13
138,20200920,23.27,22.64,23.37,22.11
137,20200913,25.32,22.93,25.32,21.79
136,20200906,25.59,25.1,26.11,24.69
135,20200830,25.45,25.48,26.01,24.12
134,20200823,25.39,25.43,27.56,24.96
133,20200816,27.11,25.5,27.54,24.85
132,20200809,28.09,27.03,28.83,26.41
131,20200802,23.46,28.16,29.24,23.44
130,20200726,23.87,23.88,26.19,23.24
129,20200719,27.07,23.64,28.46,23.25
128,20200712,24.61,26.97,27.24,24.5
127,20200705,25.05,24.71,26.23,24.47
126,20200628,25.55,25.35,25.98,24.87
125,20200621,23.26,25.55,27.0,23.12
124,20200614,22.88,23.12,24.75,22.21
123,20200607,22.19,22.9,23.28,21.79
122,20200531,22.05,22.0,23.8,21.4
121,20200524,20.32,22.1,23.34,19.47
120,20200517,20.51,20.33,21.46,20.16
119,20200510,19.32,20.29,20.64,18.97
118,20200503,20.21,19.35,20.4,18.91
117,20200426,20.69,20.2,21.37,19.92
116,20200419,20.5,20.69,21.9,19.45
115,20200412,19.67,20.5,21.46,19.29
114,20200405,18.75,19.29,19.71,18.48
113,20200329,17.92,19.15,19.84,17.48
112,20200322,20.11,18.26,20.11,17.46
111,20200315,21.81,19.7,22.0,18.47
110,20200308,21.49,22.05,22.71,21.42
109,20200301,23.6,21.47,24.2,21.04
108,20200223,22.36,23.3,25.19,22.36
107,20200216,21.42,22.31,23.49,20.99
106,20200209,20.21,21.42,22.21,19.21
105,20200126,23.04,22.46,23.92,22.05
104,20200119,20.7,22.73,23.26,20.43
103,20200112,19.61,20.7,21.16,19.48
102,20200105,19.65,20.01,20.15,19.14
101,20191229,20.75,19.64,20.89,19.43
100,20191222,18.81,20.65,21.32,18.81
99,20191215,19.64,18.93,19.82,18.67
98,20191208,20.4,19.6,20.51,18.38
97,20191201,21.05,20.74,21.69,20.2
96,20191124,21.87,21.24,22.58,21.1
95,20191117,23.49,21.83,25.11,20.4
